text,label
Good app and I like the setups that are already prepared for when u log in. My problem with the app is that it's too overwhelming. Too many things to manage and for my easily distracted and anxious brain it's too much. As constructive that can actually be applied--please make it so the tasks actually leave the list ocne they are completed. Some are infinite and its difficult to focus on what needs to be done. Otherwise. Good job on this app it's well made.,1
 OMG I just spit my drink out! RIP hair straightener!!,0
shop then work time  see yas laterz x,1
i wanna go vivid light walk,1
well.. i just saw the dead zone for the first time. its a good TV show.  is back,1
It`s starting to look like the  website may not happen in any form,0
 Oh noes.  Hope you feel better soon. My head sympathizes with yours.,2
 We want pictures as proof though,1
"It's a delightful app that helps you keep on top of things. Personally, I've found that you get as much as you put into it. There are communities and challenges you can join with like-minded people to help you achieve similar goals, and their are seasonal events as well. There are no adds, no constant pop ups to buy gems, and all features are equally helpful without the gems.",2
"Sad I missed  going away party due to too much work, but I really am gonna miss that kid",0
mom just woke me u[p and i am so mad i was dreaming about  shoes  she whants me to go to the river it is so stupid,0
Too many long ads,0
aww dude.. no fair. i thought that was the point of this thing,0
I want a Monte Cristo sandwich sooo... BAd!!!,2
Getting one of the lil GEM`s ears REpierced after work today- definitely dreading it,0
 got really sad wen holly started crying   awwww bless,0
"It's the best habit tracker out there but it's not the best it can possibly be. After a substantial amount of thought, I succumbed and shelled out the 10 euros for the premium version to be able to use the widget, which is essential to keep me on track. However, the widget doesn't respond unless the application is opened beforehand, so minus one star for that. Also, a true black widget or user-interface would be very nice for AMOLED screens, so fingers crossed for that too.",2
training again today.,1
  I thought  was against licensing stores bc it takes away from the experience they want to provide,1
I wish there was an option to create a to-do list for tomorrow. Like I wish there was a my tomorrow that would turn into my day instead of me having to manually add all the things I wrote the day before if that makes sense,2
 ur moving to leeds?? wut are u doing up there? work? ur just a jetsetter..i wanna move to England too,1
Simple easy to use and attractive... I use it for block planning so very useful,2
Im in science!! very boring,0
We looked at apartments this weekend.  Found one we like.  Hubby going today to try to rent one of the apartments.  Crossing Fingers,1
This app is not worth the $6 a year. Poorly developed with several glitches.,0
 but...he`s..mine  you told me a couple of weeks ago that you didn`t find any other guys hot apart from the ones you...,0
I can't seem to create an anniversary or a birthday event like I used to. Please assist,1
man i **** up that test  playing cod now . 31 days till the summer !,0
" you can have the sun too. It all sucks, especially for my pale whiteman skin.   I can`t stop sneezing, and I blame you.",0
" Hey, thanx for following me, I`ll follow you",2
Couldn't even set up one single recurring reminder without being required to pay monthly subscription. Get your greedy hand off it dev. It's only only a reminder app not a useful service.,0
95 degrees and a crappy a/c,0
 :] Today is a bank holiday so not many places will be open until tomorrow.         Welcome back!,1
 its ok mate I stayed in as well  losers aren`t we,0
" my husband wears the same shirt all the time, think you can send some of that this way??",1
i have problems wih pizza..ii love it too much..i`m so addicted to pizza  and Dot Dot Curve. >,2
 that would be most ideal. However...now I dont see myself leaving before 3  Gonna have to take a rain check,1
 Wow.  is constantly ranting about his love for Genghis Grill too. Never been there; not here in Colorado.,2
"I thought that there was going to be another Def Jam Fighting game, but then it turned out to be crappy karaoke game. I miss the fighting",0
 Agreed...this time of the year we should change the motto to 'The Soggy State'...my backyard looks like a swimming pool,1
bruh I literally have no clue how this app works,0
" You`re welcome!  Math is really *not* my favorite thing but it`s also so useful, so...",1
 ur linky no worky,1
"first of all, I am thrilled with the app. If I know how it works. Is there a list of ready-made tasks? On the start screen there are some suggested ones. When I press the plus button, I actually expect a list with all possible tasks. But instead of that I only have the possibility to create a new task. At first I thought that I had to subscribe. I have subscribed now but unfortunately it is still not possible. Now I have deleted all tasks from the start screen. If I click on the plus, there is still no list. It comes again: new task",2
Stupid,0
Can`t believe this ****! I`ve spend 30 minutes for for a snickers ice cream... Seems like no one does then anymore!,0
Not giving 5 stars because of the following reasons : 1. It's very annoying when you enter into a habit page and you swipe down to scroll down to see stats . But it switches to another habit page. Please fix this . It's counter intuitive. 2. No method to edit the habits online on PC or Mac . Limits the app to smart phones only. Otherwise it's a good app. Does what it is supposed to do.,1
"I started X-Slimmer at eight this morning, it`s still going  I hate that it always want`s my friggin password.",0
 hi babe how you doing,1
"Decent, but premium features like Sync do not work, can't even reimport data you exported yourself. Had I realized this I would have never have bought the app, it's just false advertising. I now have to figure out how to port my data to another app where it won't be inevitably lost.",0
Occasional lags are annoying.,2
  that`s sad. Trauma... Future serial killer...,0
"An app absolutely focused on my needs... that has broken. The sync function broke down about 3 or 4 months ago, it can export its data to .csv but not import it.",0
i lost a follower,0
I have one less follower  That makes me sad and I feel like my life is dull and uninteresting.,0
i can`t see results for whyareyoustillhere,1
I like it. What I would really like to be able to do with it is to set it on my homepage to where as soon as I open my phone my schedule is right there in place of my clock. Food for thought 😁. Thanks! Edit: wow! Thanks! Developer responded to my query within hours. Changed from 4 to 5 ☆☆☆☆☆!!!!,2
"The calendar widget cannot follow up with today date, it just fixed at the date that created the widget only. Hopefully can fix this problem",2
" thank you  btw, if u`re wondering, you can check out the 'Fuel' brand here (  )",2
" I got a headache because of all the hard work today, still not ready, with a #Heineken trying to finished up",0
Todays the day Twitterland...house closing begin at 11 and we should get to start moving in @ 3 into the new place.,1
Too many features that it becomes easy to be distracted,1
" well donkey has his own appeal, for sure.",1
I have been a big fan of Todoist for years. I tried this last week and the themes are awful .,0
Simple and helpful once I figured out how it works. I wish it didn't cost money to work on more than 5 habits..,2
Passive but good,1
 No problem! Look forward to your next tweet.,2
still can`t believe all of the gig posters in the Little Civic have been taken down!?,0
Upgraded from Wunderlist and lost the ability to reorder tasks within a single day once it is ordered by date. Very disappointed.,0
"Tracking my progression on goals has never been easier! This app is so simple, yet it's amazing and I love that you can share your progression with friends for accountability. The only thing I don't understand is the various greetings/notifications they send you in different languages.",2
"Hi, Great app. Just a small thing: I wish I could sync my Outlook Calendar, but only Gmail is present. Otherwise, great!",2
 took my computer in for a new dvd drive & screen wouldn`t come back on  Had to order new computer & wait...,1
"Perfect, it is brilliant for everything I need. I have even thrown away my old to do list notepad!!!!!!",2
Doesn't even have a basic dark mode without Pro,0
" haha! thanks, Tiff   it went well, but they WORE ME OUT!!! lol. im too old for this ;)",1
It's actually good but it doesn't have a feature where your task appears on your lockscreen that will remind you everytime you forgot something to do.,1
"blogging, cleaning and chatting while listening to phoenixfm",1
"Very good app, it's simple yet you can add layers to your tasks. My only issue is that, you need to pay for some features that are important for executing your tasks.",2
I`m quite afraid to string now since I don`t have any .024 wire use,0
Its a very useful app ..,2
watching miss cytheria,1
"Really good app w nice interface and easy to learn layout. Lets u divide tasks by ""projects"" which i find really useful! Also gives subtasks, which also helps a lot. Would recommend :)",2
tonight in party w/ my girls (minus vita),2
" i saw you on tues and last niiiighht <3 so amazzzing, didnt even notice you forgetting the wordddss",2
now feels like a dork for using the wrong Ping group,0
 Knock You Down is playing now...again!!! Cna my day get any better?? I love it!! How r u? Missed u,1
"The widget list is always glitching and won't show the items on my list, won't allow me to add new items to the list. The only way I seem to be able to fix this issue is by removing the widget and then putting it back in. This was never an issue in the past before I upgraded to the Microsoft ToDo. I'm using a Note10+ and my wife on a Samsung galaxy S10 has the same issue. Hope this can be fixed? It's getting really annoying.",0
"Pretty good so far. It does just what I need. Widgets, attachments, small line below the main description,... I just miss the undo feature the free version had.",2
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,1
thinkin twitter is really quite borin,0
"the app is good but in the over view section , even though i have focused for 45 minutes or some hour straight , it always show the data as 2 different phases. example-》45minutes=21minute then 24 minute.",2
"_0407 all over the place it was  boo, dual voice challenge was too challenging",1
" If you keep trying, you`ll get it right the last time.",2
Only have 80  followers... So sad.,0
Webcams Hoepfner Burgfest in #Karlsruhe: Automatic reload #fail http://bit.ly/Vdtvf,0
" aww yeah, it`s more fun revising with others but you get distracted easier >.< yeah I`m tired, revising history",1
"Still evaluating the app, lots of things I thought are not available on free app, must upgrade to premium to use. App good to use so far. That why rating low.",1
" You know I love me some Jordie...but that is not the best version of CG, admit it....lol...",1
 CongratulationS. Great funky site! U did it waaw,2
ITO EN Tea Apple IS DELICIOUS!!!!!!!!!! (looks like I need to go to Don Quihote to buy more!!) goodnight,2
It`s raining  I can`t go out to jogging... I have to do it in my house gym...,1
Happy Mother`s Day!  http://tinyurl.com/re74xc,2
sad   Miss my friends !,0
  Thank you,2
 Did you get to meet Ace Frehley?  Love his guitar playing.  Not sure how coherent a speaker he might/might not be.,1
"Yea, someone is getting the best of me.",0
" - l`d come if u could, but Australia is just too far away",0
Its summer and no one has texted/called me. Im a loner,0
"Very sad story of being Wunderlist ancestor. Missing Drag and Drop Missing UX at all Missing ease of using Creating of new task requires your full attention for several painful seconds. App that was meant to make your life easy is now just some list that force me to write my tasks on paper again after few years of using Wunderlist, because paper has much better UX than this one.",0
" Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",0
I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,0
" yip, that would be a sign that you`ve been on the dodgy sites Jo... eish boet, it ain`t cool",0
 It`s too nice to be inside,2
gettin ready to put on a show  ugh i really hope ppl dont comee,0
 aww tessy wanna hug?,2
Is having awesome fruits and vegetable juice at the opening of Lam`s noodles at 8  http://tinyurl.com/r65c68,2
Ahh im in love.  hes theeee best.,2
The newest version doesn't keep my record.,0
I`m one tough momma. Put together a swing set for Tammy allll by myself today!  My hubby would be so proud of me. :],2
god opened the clouds and said i hate you josh,0
listening to some brandy...never say never cd,1
In Seattle Washington....im SOOOOO hungry&i miss alaska,0
Super helpful and has definitely increased my productivity as a student. Would have loved to have discovered it years ago. Great job devs!,2
  They follow me,1
 It`s ok now ! I`ve cleared my cache and everything is fine,2
"_o uh, could you come visit austin before you make your gigantic moving decision? it`s closer to st louis than portland.",1
Boo Im lonely and bored,0
" you are right, enjoy the lasagne,",2
This is getting on my nerves. I cant change my pic,0
"This app is just great, it not only reminds me what I need to do, it really motivates me to do stuff. the only problem I'm facing, whenever I try to mark a task as completed, the task crashes, and then it updates and actually shown as completed, except this annoying bug, I love it.",2
great app .. keeps things organized. my request is that changes should be saved automatically rather than having to press save like in google keep. i forget to save it before leaving the app usually because i am in a rush and so things don't get updated.. this feature would help a lot,1
 Hey Pinky I ordered some stuff from that site you gave me. I got it yesterday in the mail so pretty  thanks,2
Working  god I hate it haha,1
about to take my mum out for jewellery shopping and a coffee for mothers day,1
E u,2
 enjoy NOLA definitely one of my favorite cities in the world. Please have a beignet with chocolate for me,2
 that wasn`t nice,0
"I bought the Pro version a few weeks ago...great concept. A few things I would like to change but can't find it in the instructions or in other reviews. Is there a way to remove my alarm clock icon on the clock face--it's irrelevant, didn't ask me to place it there, and takes up precious space? Also and most importantly, I would like the hour hand to reflect the ""real time"" so I can visualize instantly how much time is left until the next scheduled task is due. For myself, having to press the arrows to move the hour hand and watch a countdown timer to the next task is of no value. If the hour hand issue can be addressed to reflect ""real time"" I'll give it a 5, otherwise the App wont work for me and it stays at a 3. I'm surprised no-one else has mentioned this and I'm wondering if my install developed a slight bug. Update...Jan 20, 2020... I received prompt response from developer...fixed issues. My phone was an older Note3 running Android 5.0 so it was a bit different...works fine now...changed to 5 stars.",2
awake sadly        seeing Leon today !,0
 -thanks i hope i do 2  iv been playing dmc4 like 5 times kinda sick of it hehe,0
 I`d rather do the early run..but I am a morning runner,1
 I have to use the bathroom,1
" Yeah, and that`s where everything becomes difficult and generalisations break down. Not an easy problem  .",0
"Want: Trip to Boston next month. Need: Addit`l motivation to save the $ to do so.  Beloved daughter wants to go with, which = 2x the $.",2
It does not have the ending time of an event,1
I have tea! & have just found a picture of the big snail from the walk yesterday.,1
Was really enjoying the app but now the widgets stopped working.,0
Hey u forgot me!,0
 Where DO you get all those wonderful toys?,2
Intuitive and fun,2
Watching boxing and waiting to go out to Hollywood tonight,1
happy maders day,2
"wants to set up a coffee shop, but he has no money to do it",1
"GREEN DAY IS PERFORMING ON SNL NEXT WEEK!  sorry, that made me happy and i`m still all ditzy from the Justin Timberlake skits",1
 hahaha thanks for clearing up the,2
Math review. Im going to fail the exam.,0
"Energy steadily increasing, thankfully, but the cough isn`t going away.",1
"uploading photos.   (on: Facebook, & Friendster... Myspace later.)",1
Had a gr8 Sunday relaxing enjoying the beautiful weather. Good nite,2
just loves having proper Inet back,2
"Best watch once you understand it. It takes a while to set up just the way you want it and to actually ""get it"", but once you do it does exactly what it promises. Its sleek yet informative and by far the best ""at a glance"" app for your homescreen. The watch addon is the cherry on the cake. Only improvement in my opinion would be to add multiple different widgets. Like give me the option for a small simple one on my home screen and a bigger more detailed one on my office screen for instance.",2
life`s good,2
Zokay,1
I don`t think the neti pot is working for me  maybe I`m doing it wrong?,0
I`m siiiiiickkk  I dun feel good!!,0
 I was being childish lol cos one of them said that pic of Jake in Down to earth made them vomit,1
 you must ask the Cubs fans. I can`t fathom it myself.,0
Not feelin right. Hope the feeling passes. Stupid stomach.,0
_serafina85 Its headed this way,1
"Gossip Fluffodile here. The latest? Mad night with Teg, Jack, Lou, Tess and Frey. Had a gender war. But I was v. sad for a friend also",0
"_fred6 I haven`t canceled my account yet and I haven`t logged in since november I think, maybe I Should  My main was a rogue, lvl73",0
vineri...nimic special sau probabil un alt weekend pierdut...,1
My phone works! Its whack. Well good morning. Gonna go eat breakfast with neil before school starts,2
Sitting and waiting and hoping this lady would hurry the hell up... I hate moving... It super sucks...,1
 Thank you so much for the Retweet  x,2
I couldn't find a way to link to Google Tasks. That is my first priority so I have data backup and desktop list edits.,1
"The whole app is pretty broke on the note 9 (edit: I would love to report the big to help however, the settings menue does not work so I do not have the ability to send a report).",0
Awsome,2
"Good experience, nice concept, sad that it's not completely free for a to-do list, and completely frustrating that it keeps crashing everytime I want to edit my level and changing my avatar. It went brainfarted when it got overwhelmed by a long list of levels starting from 50.",1
 lmao I`m glad you guys liked it,2
 omg I`m so sorry to hear that!  If you really need to talk to someone I`m always on here. I`m a shoulder you lean on,0
annoyed the #ppt didn`t save my changes.  When I explicitly saved.,0
 it means that you are now FAMOUS. Congrats!,2
uploading a lot of photos... priceless memories,2
Rain. One more reason to stay snuggled beneath the duvet,1
Didn't sync at all with current list,0
But ... but ... who will produce the next Starsailor record?,1
"Assfuck, 'I`m sorry' roll. Okay I gave in.  I`m such a sucker.  http://twitpic.com/677xt",0
This app Rocks goodness! Perfect for daily tasks and appts.,2
"good day to all of you!! Another lindy day today! Level A, B, FREE tester at 20:00 (Olympiou Diamanti 25, 6th floor, Thessaloniki) !!",2
 Sorry  I wasn`t doing the inviting...all single women I think.,0
Happy Mother`s Day !,2
Watched `The boy in the striped pj`s` the other day too..one of the best films I`ve ever seen.,2
When r these **** exams ever gone b over and done with?  i wanna b out in the sun,0
Hello my lovely followers  love and peace from my house lolz We just need the weather!,2
Mean people suck.,0
 i don`t have anything being fwd through to mobileme and the last week i`ve gotten at least 4 -5 spam messages a day,1
Searching for Dr. Scholl`s sandal inserts for men. It seems they only make them for women,1
 whew! thassa relief,2
"What to do this weekend, what to do. Don`t think I`ll be making it to Michigan for The Wonder Years.",1
_Yours13 I`m not at home with my cats right now!,1
Boognish wishes Clemmie would be nice to me  http://apps.facebook.com/catbook/profile/view/6831309,2
I wanna be at BEA as well!!!!   #BEA09,1
calling mum too ask if she can by ice-cream,1
The app is good but it automatically exits after a while and just doesn't open after.I have to uninstall and reinstall again and again. It gets tiring after a while.,0
traveling to L.a today to see grandpa in hospital..Yet another road block to cross fro my family,0
"Is feeling sick, probably a summer flu",0
 happy mothers day ang,2
Sometimes it hurts that pets cant talk back to us. What if they are in pain. How would they tell us.,0
heyheyheyheyehyeyyyyyyyyyyyyyyyy noo tokio hotel tshirts im friad omg shame,0
 ooohhhhh - sorry  So sad - never noticed the dollar signs! #oxteach,0
stopped at the store to pick up some items and debit card is missing,0
"The app is laggy, also it has a premium version so many important features you will have to buy.. i feel that the organisation of the can be more better... Today and tomorrow should be completely seperate and there also should be a slot of yesterday where you can see what you missed doing the day before",1
 awww such a sweetie. hope your mom has a wonderful mother`s day too,2
 It is sad... I feel bad when I hear it. They look like mid 30`s. It`s like something u wld see on lifetime,0
 shut up fool ....where you been at??? i dontlike the fact that you keep abandoning me,0
to cold for the beach  sucky.,1
Thunder & lightning scarededededed me!,0
"The widget is buggy, every few days it stops showing your lists. only removing it and setting a new instance solves the problem.",0
 poor tony  come play scrabble on facebook!,0
"This could be an awesome app. It has great potential except for a few flaws that end up making it a super irritating app. I have reported these issues to the app's tech support several times only to get lame responses with no resolutions. The latest being that when items are entered into a category in this app, the app for some reason resorts the sequence of items in my list automatically. I put these items in the list in a certain order for a reason. I have other issues, but no moreroomher",0
 happy birthday justin! have a lof of fun!!! God bless,2
Watched the White House dinner speech by Barack. He`s just so many kinds of awesome!,2
"This app really helps me even if I'm not studying or hanging out with friends! I like that you have too set a time for how long you want to do things, but I wish that if you wanted to leave the end the time you would have a withered tree in your forest. Other then that, I think the app is awesome!",2
jason! bend over so i can hit it from the back,1
Cross Country was today...Hmmphh my feet hurt,0
" it`ll be close, but hopefully they can figure it out  they`ll be eating nothing but those cookies for the week tho.",1
Somehow my alarm became an hour fast and I came to realize it as I was leaving the house.. It feels good having an early start,2
had a nice mother`s day with mum. she liked her presents. wondering if i`ll ever see some one again. talking to sisa.,2
8 month old African grey parrot  sad sale - Reptile Forums UK http://bit.ly/grrdA,0
got a lot of shopping done today...really excited bout my new travel journal! Going to go to sleep watching a movie with my cousins,2
_writes i`ve been wanting it for 2 years LOL...that and a HD camcorder,1
Studying for my exams....boring,0
Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,0
watching old skool fall out boy vids,1
not at work today .i have my car back she is perfect  going random shopping later .,2
"Wish it supported sharing, but otherwise a fantastic, simple to do list app",2
 I am now cleaning,1
"i thought ur account  was fake. but, it`s true, sorry david!",1
I Sing Everytime,1
  stop itt!,1
 So sorry  Definitely getting it out this weekend.,0
"Ok so i bought a pro version. It is a decent app but has some issues. I created a few routines but when using programmer I can't apply them based on Day of the week instead I have to choose date. For example on every Monday, Wednesday and Friday I have a different routine but on Tuesday and Thursday I have a different one. But using programmer I can't apply routine based on day of week ( have to choose a date instead).",2
"was loving this app originally, did everything i wanted. Calendar, reminders, lists, habits. Easy to use..... until latest Android upgrade, no longer receiving any reminders. Disappointed, tried everything and the app just doesn't work. Will unfortunately be cancelling my subscription.",0
 morning,1
Terrible! I am missing Wunderlist. After importing our tasks everything got mixed and doubled. Shared people and list.owners mixed/double. Blame on your engineering and programming. İ will miss my lovely Wunderlist,0
doing my english essay (on r&j...wtf) that i should have done a long time ago when it was assigned last thursday,0
 Link !,1
"Have been using Wunderlist for years and it works perfectly well. Forget this your App, rename Wunderlist and continue with it. Simple.",0
 Indeed. Have a nice week!,2
She is all I can ever think about.  http://twitpic.com/4wg12,1
Very good experience...,2
 I miss you...  come over and say bye before I leave!!,0
"Ugh.. apparantly doc authorized my refills on tuesday (and ready to be picked up), but the order status online still says waiting review.",0
What should I do if I want more sublists ?! There is no way ! 🙁,0
(cont) when  told him that I love beans on toast. SO CUTE!,2
is poolside. Bowling toniht maybe?? Back to work tomorrow,1
Changing Guitar strings.. Getting Ready To Perform `THE CLIMB` at my cousins birthdayy,1
I`m sick!  it sucks! IM me! ohbabayy33,0
 Thanks hon. #Migraine went away then came back.,2
im an avid fan of **** magazine and i love your magazines,2
 morning David have a safe journey and enjoy your time in the states  ****,2
"Not enough pizza ordered, so I didn`t get any. And it was Pizza Delight too!",1
"Why do you get rid of things after making users use to it?? What happened to the press and hold to multi select? Why can't I type 'tomorrow' and click backspace to remove the auto calendar add like I was able to before the update. Thanks for the new features but don't take out the old ones, or at least add an option in the settings to keep things the same",1
 I WISH I could be in bed by nine once in a while. I never make it in before 3-4 a.m.  #sleepdeprived. Doing too much.,1
_louise Lucky me. There are mystery ingredients as well,1
I think you are super cute...,2
 not just me then,1
"i got a haircut, i felt like that guy on the 'Last Samuri' who was forced to have his ponytail cut off.",0
 bad times?,0
@ poll : was trying to get it to work in a powerpoint to no avail.,1
doesn`t get to see her fav5 today like planned,1
Too many features are premium only,1
"Crazy Legs is peepin _parks at the pool hahaha She likes graf writers, not b-boys, sorry",1
"Plz ???❤1.Widget that shows the current date, list of upcoming events, 1 click option to open calendar 2.Ability to set reminders/alerts for scheduled events 3. Ability to sync to phone's stock calendar (Android) 4.Additional settings ability to customize the color of the circle indicating current date 5. Ability to actually see the inspirational quotes in the app even if a new tab was necessary 6.Ability to create tasks and designate their priority as high, low or routine along with the option",2
"Great for maintaining and keeping a routine. This is detailed enough to develop any kind of daily/weekly/monthly routine, and flexible enough to incorporate out-of-routine events and distractions if you use it right. It is a bit tedious for some people, (that's why the 4 stars) but they can keep it simple and high-level if they like. But, if you really want to tame that beast called your work week, school agenda, or personal days like me, this will take care of it.",2
was really great but lately it has been killing my trees even though I'm not touching my phone at all. It's kind of discouraging to come back after two hours of work and see that you now only have dead trees in your forest...,1
"Didn't realize this synced to my outlook calendar, started deleting work stuff and deleted two important appointments from my work calender. I'm screwed on those, was planning on using this for personal use only.",1
" Yeah, mine said 'That`s a nice picture' & gave me the red x!  Hope you get it working soon!",2
: ''UB40-'Bring Me Your Cup'''  ? http://blip.fm/~7af72,1
: just got home from drews bday.,1
"Well, of course the envelope I have for the book I need to mail is too small...if it had fit....what fun would that be.",1
Of back off other peoples he can only have one stalker,1
nice night  bed time; work from 4:30-8:45 tomorrow,2
Can't find a way for new entries to be added to the top of a list rather than bottom.,1
On the computer alllllllllllllllll day,1
"Feeling bad for my little sister. Put a lot of money into her Saab, took full coverage off it last week, and totalled it yesterday",0
 heyyyyyyyyyyyyyya,1
 Hey guys! can i ask; what item did u guys put up for ur talent show? i am such a BIG fans of both of you! whoo!,2
**** im so bummed out right now....nobody loves me,0
"aghh mann i missed like half wowp, nd i dont like to start watching things in the middle of the show, i forgot to record it, im maddd!",0
lappy charger is completely dead... conserving what`s left of the battery until i can afford to buy a new one,0
Can't check of checklist items,0
I`m such a chicken,1
 hehe yeah! Its funny that updating people on the random things you do is so amusing.,2
 oof. perhaps it`s time to start a #moronmonday shout-out meme,1
 that is yo name girllll!,1
Angus down 3-1 in first set     http://yfrog.com/10jsepj,1
They are unloading a Leopard Tank just next to my office window. Hope I didn`t piss off anyone,2
_nl they`re bees that will be trapped into my honeypot,0
"This app is beautiful, and has really helped me keep my business, large family, homeschool and church activities all in order! No more chaos for this girl!",2
 following 865 and followers 539...not nice,0
 Thank you so much  Me neitherrrr!,2
 What r u stressin` bout mare?,1
thinks that the limit of 140 letters is really not fair. 300 + would be better,0
now i`m awake i can`t get back to sleep,0
Had a ton of fun w muffin today,2
"after 4 years of trying, my cat today figured out how to open the under-the-sink cupboard.  time for a target run to buy safety locks",1
" Thanks for follow. Was just adding you from your twitter page, after commenting your blog",2
Enjoyed see`n everyone last night! even tho it was a really bad night financially... Cant wait to kick it again @ the drive -ins!,1
 I just got two tickets one for speeding and one for tinted windows,1
"3,144 words later, it`s bedtime",1
"Dates and times? No such thing here Sure you can colorcode and organize and 
sort your tasks to death, but strangely enough there's no changing when a 
reminder will go off, no setting when a task is due (perhaps if you used 
this for work or a meeting), or not even the ability to set a due date for 
a task. It can be put in the details, but when time is of the essence 
you're better off using a better task app",0
 this picture made me cry  lol http://www.twitpic.com/671w1,0
" Wow, I really hope it gets better. Asthma sucks",1
i always feel last.,1
"  Ah  sameway Yet, has 2006 votes ((.We need more vote :`D",1
 Oh! Good idea about putting them on ice cream,2
"Purchased by premium, getting error can not sync. Emailed support, no response. Don't waste your time or money",0
"I have used the app for many years and loved it. Within the last several months, it no longer syncs seamlessly with my Google calendar. Specifically, organizing tasks has become very gitchy. If you are looking for a calendar app and don't mind it not syncing with your Google calendar on your desktop then it's a great app. Unfortunately I'd really like it to sync.",2
"Soooo disappointing. Had to find a substitute for my Habit Minder app when I moved to Android. Habit Tracker seemed. The interface is great, love the tracking graphs, but its reminders don't work consistently at all - which defeats the whole purpose!!! Really miss my Habit Minder and hope they make an android version soon.",0
"Just about to eat, home made indian food is boak  x",0
"hmmm dollhouse sounds pretty good, http://bit.ly/z3aZv  i think ima download it and try watching it",2
it is so stupid that i have to be coneccted to my calender and cant just create what i want. to much work not worth it,0
 nah. How it sucks to wear a suit and how the temp goes up 10 degrees when someone sits next to you,0
The moderation of the discussion bards in the app leaves something to be desired. Needs better moderation.,0
 nah ;) when a single person posts about 200 tweets a day is hard to cope with on my android phone when I`m unable to filter,0
 of course it is   http://is.gd/kqSK,1
"this hole twitter thing is new too me, its not letting me change my picture so your stuvk with the wee stpid thing for now",0
That sucks that u have 2 go through that  id b pissed 2,0
_Laurie sorry to hear about a horrible weekend! It can only get better! Keep smiling.,1
App crash often happens....and i cant even open the app so how am i going to send a bug report.... 😑,1
 definitely dont be offended. im messing around with various twitter apps and strange things keep happening.,0
"I am Apple transfer, and I am yet to find am app for android with the same functionality as the built in iOS app. This one is ok, but does not do what I need it to. Literally all I want an app to be able to do is have reminders pop up when scheduled, then stay on the screen until they are completed. This app will make the reminder pop up when scheduled, but if I don't complete it by the end of the day, it will not stay on my screen. Seems like I have to try and find a different app.",1
 **** no dublin,0
