Country,ISO3 Code,Date,Price (EUR/MWhe)
Lithuania,LTU,2015-01-14,50.78
Luxembourg,LUX,2015-01-14,27.68
Netherlands,NLD,2015-01-14,39.7
Norway,NOR,2015-01-14,28.86
Poland,POL,2015-01-14,34.99
Portugal,PRT,2015-01-14,61.12
Romania,ROU,2015-01-14,47.87
Slovakia,SVK,2015-01-14,31.85
Slovenia,SVN,2015-01-14,47.31
Spain,ESP,2015-01-14,61.12
Sweden,SWE,2015-01-14,29.89
Switzerland,CHE,2015-01-14,45.2
Austria,AUT,2015-01-15,24.76
Belgium,BEL,2015-01-15,42.67
Czechia,CZE,2015-01-15,25.3
Denmark,DNK,2015-01-15,23.42
Estonia,EST,2015-01-15,35.42
Finland,FIN,2015-01-15,35.43
France,FRA,2015-01-15,37.08
Germany,DEU,2015-01-15,24.76
Greece,GRC,2015-01-15,64.76
Hungary,HUN,2015-01-15,45.86
Italy,ITA,2015-01-15,53.07
Latvia,LVA,2015-01-15,40.71
Lithuania,LTU,2015-01-15,40.71
Luxembourg,LUX,2015-01-15,24.76
Netherlands,NLD,2015-01-15,42.67
Norway,NOR,2015-01-15,27.5
Poland,POL,2015-01-15,38.19
Portugal,PRT,2015-01-15,47.53
Romania,ROU,2015-01-15,45.51
Slovakia,SVK,2015-01-15,27.85
Slovenia,SVN,2015-01-15,49.48
Spain,ESP,2015-01-15,47.53
Sweden,SWE,2015-01-15,29.08
Switzerland,CHE,2015-01-15,43.67
Austria,AUT,2015-01-16,33.89
Belgium,BEL,2015-01-16,42.28
Czechia,CZE,2015-01-16,35.24
Denmark,DNK,2015-01-16,23.42
Estonia,EST,2015-01-16,33.3
Finland,FIN,2015-01-16,33.34
France,FRA,2015-01-16,42.14
Germany,DEU,2015-01-16,33.89
Greece,GRC,2015-01-16,65.9
Hungary,HUN,2015-01-16,43.57
Italy,ITA,2015-01-16,51.89
Latvia,LVA,2015-01-16,40.0
Lithuania,LTU,2015-01-16,40.0
Luxembourg,LUX,2015-01-16,33.89
Netherlands,NLD,2015-01-16,42.28
Norway,NOR,2015-01-16,27.59
Poland,POL,2015-01-16,35.37
Portugal,PRT,2015-01-16,52.66
Romania,ROU,2015-01-16,43.52
Slovakia,SVK,2015-01-16,35.47
Slovenia,SVN,2015-01-16,47.22
Spain,ESP,2015-01-16,52.66
Sweden,SWE,2015-01-16,28.74
Switzerland,CHE,2015-01-16,45.83
Austria,AUT,2015-01-17,31.26
Belgium,BEL,2015-01-17,37.05
Czechia,CZE,2015-01-17,30.82
Denmark,DNK,2015-01-17,27.81
Estonia,EST,2015-01-17,28.5
Finland,FIN,2015-01-17,28.5
France,FRA,2015-01-17,36.97
Germany,DEU,2015-01-17,31.26
Greece,GRC,2015-01-17,61.48
Hungary,HUN,2015-01-17,33.68
Italy,ITA,2015-01-17,46.89
Latvia,LVA,2015-01-17,38.91
Lithuania,LTU,2015-01-17,38.91
Luxembourg,LUX,2015-01-17,31.26
Netherlands,NLD,2015-01-17,36.62
Norway,NOR,2015-01-17,27.71
Poland,POL,2015-01-17,36.08
Portugal,PRT,2015-01-17,46.6
Romania,ROU,2015-01-17,32.82
Slovakia,SVK,2015-01-17,30.82
Slovenia,SVN,2015-01-17,34.57
Spain,ESP,2015-01-17,46.6
Sweden,SWE,2015-01-17,28.47
Switzerland,CHE,2015-01-17,42.73
Austria,AUT,2015-01-18,27.18
Belgium,BEL,2015-01-18,38.28
Czechia,CZE,2015-01-18,27.36
Denmark,DNK,2015-01-18,27.67
Estonia,EST,2015-01-18,28.25
Finland,FIN,2015-01-18,28.25
France,FRA,2015-01-18,36.88
Germany,DEU,2015-01-18,27.18
Greece,GRC,2015-01-18,60.73
Hungary,HUN,2015-01-18,31.75
Italy,ITA,2015-01-18,47.58
Latvia,LVA,2015-01-18,32.3
Lithuania,LTU,2015-01-18,32.3
Luxembourg,LUX,2015-01-18,27.18
Netherlands,NLD,2015-01-18,38.05
Norway,NOR,2015-01-18,28.24
Poland,POL,2015-01-18,32.91
Portugal,PRT,2015-01-18,42.89
Romania,ROU,2015-01-18,31.76
Slovakia,SVK,2015-01-18,27.36
Slovenia,SVN,2015-01-18,28.59
Spain,ESP,2015-01-18,42.89
Sweden,SWE,2015-01-18,28.25
Switzerland,CHE,2015-01-18,38.37
Austria,AUT,2015-01-19,42.75
Belgium,BEL,2015-01-19,46.44
Czechia,CZE,2015-01-19,42.85
Denmark,DNK,2015-01-19,34.4
Estonia,EST,2015-01-19,38.89
Finland,FIN,2015-01-19,38.42
France,FRA,2015-01-19,46.44
Germany,DEU,2015-01-19,42.75
Greece,GRC,2015-01-19,59.87
Hungary,HUN,2015-01-19,48.74
Italy,ITA,2015-01-19,52.65
Latvia,LVA,2015-01-19,40.48
Lithuania,LTU,2015-01-19,40.48
Luxembourg,LUX,2015-01-19,42.75
Netherlands,NLD,2015-01-19,43.65
Norway,NOR,2015-01-19,32.3
Poland,POL,2015-01-19,37.71
Portugal,PRT,2015-01-19,52.52
Romania,ROU,2015-01-19,47.76
Slovakia,SVK,2015-01-19,42.85
Slovenia,SVN,2015-01-19,47.33
Spain,ESP,2015-01-19,52.52
Sweden,SWE,2015-01-19,32.81
Switzerland,CHE,2015-01-19,49.61
Austria,AUT,2015-01-20,47.0
Belgium,BEL,2015-01-20,49.81
Czechia,CZE,2015-01-20,44.77
Denmark,DNK,2015-01-20,40.45
Estonia,EST,2015-01-20,36.59
Finland,FIN,2015-01-20,36.59
France,FRA,2015-01-20,49.81
Germany,DEU,2015-01-20,47.0
Greece,GRC,2015-01-20,63.49
Hungary,HUN,2015-01-20,45.9
Italy,ITA,2015-01-20,54.03
Latvia,LVA,2015-01-20,40.45
Lithuania,LTU,2015-01-20,40.45
Luxembourg,LUX,2015-01-20,47.0
Netherlands,NLD,2015-01-20,47.63
Norway,NOR,2015-01-20,30.99
Poland,POL,2015-01-20,40.76
Portugal,PRT,2015-01-20,61.13
Romania,ROU,2015-01-20,45.61
Slovakia,SVK,2015-01-20,44.96
Slovenia,SVN,2015-01-20,49.31
Spain,ESP,2015-01-20,61.13
Sweden,SWE,2015-01-20,34.9
Switzerland,CHE,2015-01-20,49.82
Austria,AUT,2015-01-21,44.93
Belgium,BEL,2015-01-21,50.08
Czechia,CZE,2015-01-21,44.46
Denmark,DNK,2015-01-21,41.53
Estonia,EST,2015-01-21,40.69
Finland,FIN,2015-01-21,40.69
France,FRA,2015-01-21,50.08
Germany,DEU,2015-01-21,44.93
Greece,GRC,2015-01-21,59.98
Hungary,HUN,2015-01-21,45.27
Italy,ITA,2015-01-21,53.39
Latvia,LVA,2015-01-21,42.81
Lithuania,LTU,2015-01-21,42.81
Luxembourg,LUX,2015-01-21,44.93
Netherlands,NLD,2015-01-21,45.23
Norway,NOR,2015-01-21,32.49
Poland,POL,2015-01-21,43.18
Portugal,PRT,2015-01-21,51.28
Romania,ROU,2015-01-21,45.0
Slovakia,SVK,2015-01-21,44.46
Slovenia,SVN,2015-01-21,45.14
Spain,ESP,2015-01-21,51.28
Sweden,SWE,2015-01-21,40.22
Switzerland,CHE,2015-01-21,50.92
Austria,AUT,2015-01-22,43.88
Belgium,BEL,2015-01-22,51.44
Czechia,CZE,2015-01-22,44.39
Denmark,DNK,2015-01-22,41.99
Estonia,EST,2015-01-22,41.64
Finland,FIN,2015-01-22,41.64
France,FRA,2015-01-22,51.44
Germany,DEU,2015-01-22,43.88
Greece,GRC,2015-01-22,65.12
Hungary,HUN,2015-01-22,44.6
Italy,ITA,2015-01-22,52.77
Latvia,LVA,2015-01-22,44.16
Lithuania,LTU,2015-01-22,44.19
Luxembourg,LUX,2015-01-22,43.88
Netherlands,NLD,2015-01-22,44.38
Norway,NOR,2015-01-22,33.91
Poland,POL,2015-01-22,39.02
Portugal,PRT,2015-01-22,50.83
Romania,ROU,2015-01-22,41.33
Slovakia,SVK,2015-01-22,44.39
Slovenia,SVN,2015-01-22,45.28
Spain,ESP,2015-01-22,50.83
Sweden,SWE,2015-01-22,41.27
Switzerland,CHE,2015-01-22,52.06
Austria,AUT,2015-01-23,42.26
Belgium,BEL,2015-01-23,48.49
Czechia,CZE,2015-01-23,42.91
Denmark,DNK,2015-01-23,39.91
Estonia,EST,2015-01-23,40.45
Finland,FIN,2015-01-23,40.45
France,FRA,2015-01-23,48.49
Germany,DEU,2015-01-23,42.26
Greece,GRC,2015-01-23,58.68
Hungary,HUN,2015-01-23,43.92
Italy,ITA,2015-01-23,52.84
Latvia,LVA,2015-01-23,43.69
Lithuania,LTU,2015-01-23,43.69
Luxembourg,LUX,2015-01-23,42.26
Netherlands,NLD,2015-01-23,43.6
Norway,NOR,2015-01-23,38.62
Poland,POL,2015-01-23,36.73
Portugal,PRT,2015-01-23,53.83
Romania,ROU,2015-01-23,28.9
Slovakia,SVK,2015-01-23,42.91
Slovenia,SVN,2015-01-23,44.57
Spain,ESP,2015-01-23,53.63
Sweden,SWE,2015-01-23,39.49
Switzerland,CHE,2015-01-23,49.28
Austria,AUT,2015-01-24,29.56
Belgium,BEL,2015-01-24,42.41
Czechia,CZE,2015-01-24,30.49
Denmark,DNK,2015-01-24,27.92
Estonia,EST,2015-01-24,28.95
Finland,FIN,2015-01-24,28.95
France,FRA,2015-01-24,42.41
Germany,DEU,2015-01-24,29.56
Greece,GRC,2015-01-24,55.76
Hungary,HUN,2015-01-24,31.89
Italy,ITA,2015-01-24,47.68
Latvia,LVA,2015-01-24,37.24
Lithuania,LTU,2015-01-24,37.24
Luxembourg,LUX,2015-01-24,29.56
Netherlands,NLD,2015-01-24,39.82
Norway,NOR,2015-01-24,28.34
Poland,POL,2015-01-24,34.78
Portugal,PRT,2015-01-24,46.77
Romania,ROU,2015-01-24,25.82
Slovakia,SVK,2015-01-24,30.49
Slovenia,SVN,2015-01-24,33.62
Spain,ESP,2015-01-24,46.77
Sweden,SWE,2015-01-24,28.52
Switzerland,CHE,2015-01-24,43.09
Austria,AUT,2015-01-25,28.43
Belgium,BEL,2015-01-25,40.45
Czechia,CZE,2015-01-25,26.55
Denmark,DNK,2015-01-25,28.57
Estonia,EST,2015-01-25,28.79
Finland,FIN,2015-01-25,28.79
France,FRA,2015-01-25,40.09
Germany,DEU,2015-01-25,28.43
Greece,GRC,2015-01-25,52.27
Hungary,HUN,2015-01-25,30.25
Italy,ITA,2015-01-25,42.27
Latvia,LVA,2015-01-25,39.23
Lithuania,LTU,2015-01-25,39.23
Luxembourg,LUX,2015-01-25,28.43
Netherlands,NLD,2015-01-25,40.16
Norway,NOR,2015-01-25,28.6
Poland,POL,2015-01-25,30.85
Portugal,PRT,2015-01-25,40.74
Romania,ROU,2015-01-25,30.27
Slovakia,SVK,2015-01-25,26.55
Slovenia,SVN,2015-01-25,31.75
Spain,ESP,2015-01-25,40.74
Sweden,SWE,2015-01-25,28.83
Switzerland,CHE,2015-01-25,38.38
Austria,AUT,2015-01-26,37.23
Belgium,BEL,2015-01-26,47.17
Czechia,CZE,2015-01-26,35.4
Denmark,DNK,2015-01-26,28.42
Estonia,EST,2015-01-26,37.78
Finland,FIN,2015-01-26,37.84
France,FRA,2015-01-26,47.17
Germany,DEU,2015-01-26,37.23
Greece,GRC,2015-01-26,61.54
Hungary,HUN,2015-01-26,42.88
Italy,ITA,2015-01-26,50.66
Latvia,LVA,2015-01-26,43.08
Lithuania,LTU,2015-01-26,43.08
Luxembourg,LUX,2015-01-26,37.23
Netherlands,NLD,2015-01-26,43.99
Norway,NOR,2015-01-26,28.61
Poland,POL,2015-01-26,36.06
Portugal,PRT,2015-01-26,58.06
Romania,ROU,2015-01-26,42.92
Slovakia,SVK,2015-01-26,35.4
Slovenia,SVN,2015-01-26,41.6
Spain,ESP,2015-01-26,58.06
Sweden,SWE,2015-01-26,28.99
Switzerland,CHE,2015-01-26,48.94
Austria,AUT,2015-01-27,33.21
Belgium,BEL,2015-01-27,48.28
Czechia,CZE,2015-01-27,34.54
Denmark,DNK,2015-01-27,28.86
Estonia,EST,2015-01-27,41.73
Finland,FIN,2015-01-27,41.73
France,FRA,2015-01-27,48.28
Germany,DEU,2015-01-27,33.21
Greece,GRC,2015-01-27,61.94
Hungary,HUN,2015-01-27,47.27
Italy,ITA,2015-01-27,52.04
Latvia,LVA,2015-01-27,45.61
Lithuania,LTU,2015-01-27,45.61
Luxembourg,LUX,2015-01-27,33.21
Netherlands,NLD,2015-01-27,39.59
Norway,NOR,2015-01-27,29.16
Poland,POL,2015-01-27,38.41
Portugal,PRT,2015-01-27,56.02
Romania,ROU,2015-01-27,47.46
Slovakia,SVK,2015-01-27,36.25
Slovenia,SVN,2015-01-27,43.67
Spain,ESP,2015-01-27,55.19
Sweden,SWE,2015-01-27,29.28
Switzerland,CHE,2015-01-27,48.55
Austria,AUT,2015-01-28,27.47
Belgium,BEL,2015-01-28,45.24
Czechia,CZE,2015-01-28,28.14
Denmark,DNK,2015-01-28,26.62
Estonia,EST,2015-01-28,32.35
Finland,FIN,2015-01-28,32.35
France,FRA,2015-01-28,45.24
Germany,DEU,2015-01-28,27.47
Greece,GRC,2015-01-28,64.61
Hungary,HUN,2015-01-28,43.02
Italy,ITA,2015-01-28,52.2
Latvia,LVA,2015-01-28,40.92
Lithuania,LTU,2015-01-28,40.92
Luxembourg,LUX,2015-01-28,27.47
Netherlands,NLD,2015-01-28,41.72
Norway,NOR,2015-01-28,27.54
Poland,POL,2015-01-28,35.41
Portugal,PRT,2015-01-28,57.55
Romania,ROU,2015-01-28,42.47
Slovakia,SVK,2015-01-28,35.01
Slovenia,SVN,2015-01-28,46.41
Spain,ESP,2015-01-28,57.68
Sweden,SWE,2015-01-28,27.66
Switzerland,CHE,2015-01-28,47.17
Austria,AUT,2015-01-29,26.93
Belgium,BEL,2015-01-29,49.17
Czechia,CZE,2015-01-29,27.73
Denmark,DNK,2015-01-29,27.03
Estonia,EST,2015-01-29,32.02
Finland,FIN,2015-01-29,32.02
France,FRA,2015-01-29,49.09
Germany,DEU,2015-01-29,26.93
Greece,GRC,2015-01-29,69.07
Hungary,HUN,2015-01-29,45.94
Italy,ITA,2015-01-29,51.64
Latvia,LVA,2015-01-29,39.0
Lithuania,LTU,2015-01-29,39.0
Luxembourg,LUX,2015-01-29,26.93
Netherlands,NLD,2015-01-29,46.4
Norway,NOR,2015-01-29,27.76
Poland,POL,2015-01-29,35.68
Portugal,PRT,2015-01-29,43.47
Romania,ROU,2015-01-29,43.05
Slovakia,SVK,2015-01-29,33.94
Slovenia,SVN,2015-01-29,45.93
Spain,ESP,2015-01-29,43.3
Sweden,SWE,2015-01-29,27.59
Switzerland,CHE,2015-01-29,48.07
Austria,AUT,2015-01-30,38.29
Belgium,BEL,2015-01-30,43.52
Czechia,CZE,2015-01-30,38.42
Denmark,DNK,2015-01-30,30.37
Estonia,EST,2015-01-30,33.71
Finland,FIN,2015-01-30,33.71
France,FRA,2015-01-30,42.35
Germany,DEU,2015-01-30,38.29
Greece,GRC,2015-01-30,63.81
Hungary,HUN,2015-01-30,41.52
Italy,ITA,2015-01-30,49.07
